First Name,Last Name,Gender,Date of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Year of Joining,DOW of Joining,Age in Company (Years),Initial Salary,Salary increase % ,State,Region
Angelique,Goodwin,F,5/15/1964,53.24,56,3/24/2001,2001,Saturday,16.36,193710,27%,NY,Northeast
Jeni,Shaffer,F,1/13/1962,55.58,54,12/10/2015,2015,Thursday,1.63,144133,30%,AL,South
Donald,Farris,F,4/11/1958,59.34,40,11/12/1979,1979,Monday,37.73,132617,18%,AL,South
Steven,Rendon,M,4/4/1982,35.34,81,9/18/2008,2008,Thursday,8.86,77898,15%,IL,Midwest
Jenell,Almanza,F,7/1/1958,59.12,47,7/14/1993,1993,Wednesday,24.05,139856,6%,MO,Midwest
Almeta,Brookins,F,5/8/1985,32.24,41,4/25/2017,2017,Tuesday,0.26,90576,23%,GA,South
Bobbie,Branson,M,2/10/1996,21.48,71,4/27/2017,2017,Thursday,0.25,178641,10%,OH,Midwest
Bertram,Carlisle,M,12/31/1982,34.6,61,11/2/2012,2012,Friday,4.74,163773,10%,PA,Northeast
Carlton,Leclair,M,3/17/1986,31.39,56,1/7/2009,2009,Wednesday,8.56,50397,29%,IA,Midwest
Todd,Slater,M,6/9/1995,22.15,58,3/7/2017,2017,Tuesday,0.39,54458,12%,MN,Midwest
Adalberto,Hazel,M,12/8/1959,57.68,66,4/27/1995,1995,Thursday,22.27,120471,10%,WI,Midwest
Seymour,Nelson,M,1/21/1996,21.53,63,7/2/2017,2017,Sunday,0.07,77853,29%,PA,Northeast
Vicente,Dawkins,M,6/17/1994,23.13,62,7/2/2016,2016,Saturday,1.07,169446,11%,IL,Midwest
Rex,Ng,M,8/22/1982,34.96,68,1/17/2007,2007,Wednesday,10.53,153446,7%,PA,Northeast
Arlena,Clough,F,10/15/1957,59.82,48,12/26/2015,2015,Saturday,1.59,95109,15%,KS,Midwest
Cory,Clarke,M,6/2/1980,37.18,89,4/27/2012,2012,Friday,5.25,179134,16%,AZ,West
Sofia,Poole,F,12/3/1964,52.68,43,7/18/1993,1993,Sunday,24.04,150019,24%,PA,Northeast
Samuel,Wendt,M,11/25/1976,40.7,72,2/24/2016,2016,Wednesday,1.42,198487,26%,GA,South
Virgil,Trowbridge,M,4/6/1986,31.33,73,11/21/2016,2016,Monday,0.68,199714,11%,DC,South
